year,city,country,avg_temp
1943,Charlotte,United States,16.16
1944,Charlotte,United States,16.14
1945,Charlotte,United States,16.55
1946,Charlotte,United States,16.82
1947,Charlotte,United States,15.71
1948,Charlotte,United States,16.40
1949,Charlotte,United States,16.93
1950,Charlotte,United States,16.37
1951,Charlotte,United States,16.37
1952,Charlotte,United States,16.61
1953,Charlotte,United States,16.90
1954,Charlotte,United States,16.78
1955,Charlotte,United States,16.39
1956,Charlotte,United States,16.65
1957,Charlotte,United States,16.64
1958,Charlotte,United States,15.32
1959,Charlotte,United States,16.38
1960,Charlotte,United States,15.53
1961,Charlotte,United States,15.92
1962,Charlotte,United States,16.13
1963,Charlotte,United States,15.50
1964,Charlotte,United States,15.91
1965,Charlotte,United States,16.31
1966,Charlotte,United States,15.40
1967,Charlotte,United States,15.68
1968,Charlotte,United States,15.49
1969,Charlotte,United States,15.47
1970,Charlotte,United States,16.32
1971,Charlotte,United States,16.24
1972,Charlotte,United States,15.96
1973,Charlotte,United States,16.37
1974,Charlotte,United States,16.64
1975,Charlotte,United States,16.55
1976,Charlotte,United States,15.45
1977,Charlotte,United States,16.28
1978,Charlotte,United States,15.78
1979,Charlotte,United States,15.76
1980,Charlotte,United States,16.08
1981,Charlotte,United States,15.73
1982,Charlotte,United States,16.35
1983,Charlotte,United States,15.72
1984,Charlotte,United States,16.36
1985,Charlotte,United States,16.53
1986,Charlotte,United States,17.15
1987,Charlotte,United States,16.31
1988,Charlotte,United States,15.68
1989,Charlotte,United States,16.09
1990,Charlotte,United States,17.69
1991,Charlotte,United States,17.06
1992,Charlotte,United States,16.01
1993,Charlotte,United States,16.40
1994,Charlotte,United States,16.42
1995,Charlotte,United States,16.33
1996,Charlotte,United States,15.85
1997,Charlotte,United States,16.05
1998,Charlotte,United States,17.56
1999,Charlotte,United States,16.96
2000,Charlotte,United States,16.43
2001,Charlotte,United States,16.86
2002,Charlotte,United States,17.02
2003,Charlotte,United States,16.28
2004,Charlotte,United States,16.78
2005,Charlotte,United States,16.71
2006,Charlotte,United States,17.04
2007,Charlotte,United States,17.48
2008,Charlotte,United States,16.66
2009,Charlotte,United States,16.42
2010,Charlotte,United States,16.52
2011,Charlotte,United States,17.26
2012,Charlotte,United States,17.64
2013,Charlotte,United States,17.71
